CreateTime,Des,Emotions
1646107098,0,积极
1646107100,0,积极
1646107118,0,消极
1646107316,1,中性
1646107356,0,中性
1646107366,1,中性
1646107368,0,中性
1646107369,0,中性
1646114164,0,积极
1646114201,0,积极
1646114214,0,积极
1646114780,1,积极
1646114791,0,消极
1646114799,0,积极
1646114809,0,积极
1646114873,0,积极
1646114924,1,积极
1646114933,0,积极
1646114937,0,消极
1646114944,0,积极
1646114956,0,积极
1646115052,0,积极
1646115056,0,消极
1646115061,1,中性
1646115081,0,积极
1646115083,0,消极
1646115099,0,积极
1646115102,0,消极
1646115146,0,积极
1646115149,0,中性
1646115161,0,消极
1646115464,0,积极
1646115470,0,消极
1646115662,1,消极
1646115678,0,积极
1646115685,0,积极
1646115699,0,积极
1646115703,0,积极
1646116173,0,中性
1646116179,0,中性
1646116206,1,中性
1646116217,1,积极
1646116229,0,中性
1646116290,1,消极
1646116298,0,消极
1646116305,0,积极
1646116308,0,积极
1646116414,0,积极
1646116501,1,消极
1646116513,0,积极
1646116530,1,消极
1646116546,0,积极
1646116553,0,中性
1646116561,0,积极
1646116572,0,消极
1646116581,1,消极
1646116584,0,中性
1646117339,0,中性
1646117343,0,中性
1646117424,1,中性
1646117432,0,中性
1646117434,0,积极
1646117439,1,中性
1646118112,1,消极
1646118117,1,积极
1646118124,0,积极
1646118132,0,积极
1646118137,0,中性
1646118361,1,中性
1646118747,1,中性
1646118764,0,积极
1646118770,0,消极
1646118772,0,积极
1646118889,1,中性
1646118898,1,中性
1646118911,1,积极
1646119062,0,积极
1646119067,0,中性
1646119073,1,积极
1646119074,0,中性
1646119084,0,中性
1646119091,1,中性
1646119198,0,中性
1646119202,0,中性
1646119215,1,中性
1646119227,0,中性
1646119236,0,中性
1646119246,0,中性
1646119281,0,中性
1646119284,0,中性
1646119315,0,积极
1646119328,0,积极
1646119340,0,中性
1646119882,1,消极
1646119892,1,中性
1646119897,0,消极
1646120016,1,积极
1646120025,0,积极
1646121233,0,积极
1646121284,0,积极
1646121285,1,中性
1646121290,0,中性
1646121293,0,积极
1646121309,1,中性
1646121339,0,中性
1646121345,1,中性
1646121354,1,中性
1646121368,0,积极
1646121377,0,中性
1646122608,0,积极
1646122609,1,中性
1646122611,1,中性
1646122623,1,中性
1646122630,0,中性
1646122635,0,中性
1646122637,1,中性
1646122644,0,中性
1646122702,0,消极
1646122847,1,中性
1646122853,0,积极
1646122909,1,中性
1646122921,1,中性
1646122928,1,中性
1646122945,1,中性
1646122994,0,中性
1646123002,0,中性
1646123041,0,中性
1646123049,0,中性
1646123067,0,中性
1646123078,0,中性
1646123085,0,积极
1646123128,1,消极
1646123182,0,中性
1646123194,0,中性
1646123196,0,中性
1646123202,0,中性
1646124145,1,中性
1646124146,0,积极
1646124150,0,积极
1646124153,0,积极
1646124270,1,中性
1646124522,0,积极
1646124525,0,积极
1646124885,0,中性
1646124891,0,中性
1646124894,0,中性
1646124899,1,中性
1646124906,0,积极
1646127334,1,积极
1646127342,0,积极
1646127351,0,积极
1646127524,1,消极
1646127529,0,中性
1646127531,0,中性
1646127542,0,中性
1646127688,1,中性
1646127696,0,中性
1646127707,1,中性
1646127712,0,中性
1646127714,1,中性
1646127718,0,中性
1646127719,1,中性
1646127727,0,中性
1646127735,0,积极
1646127740,1,积极
1646127744,0,积极
1646128456,1,中性
1646128464,0,积极
1646128468,1,中性
1646128471,1,中性
1646128478,0,积极
1646128480,0,积极
1646128481,0,消极
1646128486,0,中性
1646128491,1,消极
1646128499,0,积极
1646128968,1,中性
1646129004,1,中性
1646129016,0,积极
1646129023,0,消极
1646129033,1,消极
1646129036,1,中性
1646129041,0,积极
1646129077,0,积极
1646129245,0,积极
1646129274,1,积极
1646130069,1,积极
1646130074,1,消极
1646130075,0,积极
1646130091,0,消极
1646130097,1,中性
1646130391,1,消极
1646130395,1,中性
1646130398,0,中性
1646130404,1,中性
1646130407,0,中性
1646130577,1,中性
1646130588,0,中性
1646130646,0,积极
1646130650,0,消极
1646130777,1,积极
1646130783,1,中性
1646130787,0,中性
1646130891,0,中性
1646130896,0,中性
1646130910,0,中性
1646130968,1,中性
1646130977,0,中性
1646131037,1,积极
1646131063,0,积极
1646131951,1,消极
1646131966,0,积极
1646131972,0,中性
1646131973,1,积极
1646131973,0,积极
1646131976,1,积极
1646132861,1,积极
1646132873,0,中性
1646132883,0,消极
1646132895,1,消极
1646133124,0,消极
1646133126,0,积极
1646133130,1,消极
1646133136,0,中性
1646133173,0,中性
1646133181,0,中性
1646133199,0,中性
1646133210,0,中性
1646133371,1,积极
1646133375,1,积极
1646133378,0,积极
1646133383,0,中性
